example_id                                                | status | run_time        |
./spec/requests/api/v1/users_controller_spec.rb[1:1:2:1]  | passed | 0.00112 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:2:1:1]  | passed | 0.04751 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:2:1:2]  | passed | 0.01303 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:2:1:3]  | passed | 0.01246 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:2:2:1]  | passed | 0.00496 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:3:1:1]  | passed | 0.00685 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:3:1:2]  | passed | 0.00784 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:3:1:3]  | passed | 0.00694 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:3:2:1]  | passed | 0.00952 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:3:3:1]  | passed | 0.12559 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:4:1:1]  | passed | 0.01145 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:4:1:2]  | passed | 0.01674 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:4:1:3]  | passed | 0.0451 seconds  |
./spec/requests/api/v1/users_controller_spec.rb[1:4:1:4]  | passed | 0.01161 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:4:2:1]  | passed | 0.00468 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:4:2:2]  | passed | 0.00469 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:4:3:1]  | passed | 0.00538 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:4:3:2]  | passed | 0.00987 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:5:1:1]  | passed | 0.00637 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:5:1:2]  | passed | 0.00747 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:5:1:3]  | passed | 0.00707 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:5:2:1]  | passed | 0.00807 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:5:2:2]  | passed | 0.00837 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:5:3:1]  | passed | 0.00522 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:6:1:1]  | passed | 0.00941 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:6:1:2]  | passed | 0.01157 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:6:1:3]  | passed | 0.00944 seconds |
./spec/requests/api/v1/users_controller_spec.rb[1:6:2:1]  | passed | 0.00674 seconds |
